City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
254,Hithadhoo,MV,83.89,overcast clouds,-0.6,73.0833,Scoop Guest House
257,Keetmanshoop,NA,85.3,light rain,-26.5833,18.1333,Quiver Inn Guesthouse
261,Weligama,LK,77.81,few clouds,5.9667,80.4167,Weligama Bay Resort
265,Kavieng,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
267,Dan Khun Thot,TH,81.59,few clouds,15.2085,101.7714,Sai Thong Hotel
274,Mogadishu,SO,84.07,clear sky,2.0371,45.3438,Hotel Juba
278,Grand Gaube,MU,86.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
280,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
281,Paka,MY,80.53,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
283,Benguela,AO,78.78,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
295,Viedma,AR,83.41,overcast clouds,-40.8135,-62.9967,Hotel Cristal
300,Saint-Pierre,RE,85.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
301,Richards Bay,ZA,83.75,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
304,Terenos,BR,87.51,clear sky,-20.4422,-54.8603,Rancho Pitzer
313,Angoche,MZ,81.39,moderate rain,-16.2325,39.9086,Guest House HESADA
316,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
323,Saldanha,ZA,80.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
327,Pedro Juan Caballero,PY,85.96,clear sky,-22.5472,-55.7333,Hotel Internacional
328,Puerto Colombia,CO,77.09,few clouds,10.9878,-74.9547,Hotel El Emigrante
331,Maningrida,AU,82.78,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
335,Biak,ID,77.4,scattered clouds,-0.9131,122.8766,Penginapan Kim
339,Trairi,BR,85.42,scattered clouds,-3.2778,-39.2689,janelas do mar
352,Walvis Bay,NA,75.09,overcast clouds,-22.9575,14.5053,Oyster Box Guesthouse
357,Kalmunai,LK,79.52,broken clouds,7.4167,81.8167,VS Villa
362,Maragogi,BR,83.62,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
364,Tual,ID,84.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
366,Hervey Bay,AU,78.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
368,Zabid,YE,86.49,scattered clouds,14.1951,43.3152,مغرب التريبه
370,Monrovia,LR,84.36,overcast clouds,6.3005,-10.7969,Sunset Inn
371,Sao Miguel Do Araguaia,BR,79.75,clear sky,-13.275,-50.1628,Hotel Executivo Palace
382,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
390,Guiratinga,BR,81.99,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
395,Mlonggo,ID,80.49,moderate rain,-6.5333,110.7,Asia Metal Art
399,Casa Nova,BR,82.38,few clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
401,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
407,Cidreira,BR,85.46,clear sky,-30.1811,-50.2056,Hotel Castelo
410,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
411,Isangel,VU,75.97,scattered clouds,-19.55,169.2667,Tanna Lodge
420,Maputo,MZ,85.23,scattered clouds,-25.9653,32.5892,Pestana Rovuma
421,Srandakan,ID,80.46,overcast clouds,-7.9386,110.2506,Puri Brata
422,Nouakchott,MR,82.33,broken clouds,18.0858,-15.9785,HOTEL IMAN
424,Negara,ID,77.07,moderate rain,-8.3151,114.6025,Villa Maya West Bali
426,Nisia Floresta,BR,80.98,light rain,-6.0911,-35.2086,Rancho Crepusculo
428,Tete,MZ,86.09,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
440,Sorong,ID,81.61,moderate rain,-0.8833,131.25,Waigo Splash Hotel
441,Kasane,BW,77.09,few clouds,-17.8167,25.15,The Old House
442,Chapada Dos Guimaraes,BR,78.46,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
446,San Isidro,PE,75.25,broken clouds,-12.1167,-77.05,Soul Mate-Inn
450,Kerema,PG,77.5,overcast clouds,-7.9631,145.7785,Frena Lodge
453,Santa Isabel,BR,79.66,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
454,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
456,Lampang,TH,78.6,overcast clouds,18.3333,99.5,Mrs Luis Guest House
458,Alyangula,AU,85.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
459,Broken Hill,AU,83.91,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
465,Okahandja,NA,85.84,light rain,-21.9833,16.9167,Guesthouse Villa Nina
467,Ciudad Guayana,VE,78.53,scattered clouds,8.3533,-62.6528,Hotel Las Americas
470,Penha,BR,82.27,broken clouds,-26.7694,-48.6458,Hotel Mirante Do Parque
473,Port-Gentil,GA,79.68,light rain,-0.7193,8.7815,Fengshui Residence
475,Ciudad Bolivar,VE,78.73,broken clouds,8.1222,-63.5497,Hotel Edi
480,Isabela,PH,76.91,overcast clouds,6.7085,121.9711,Isawad Resort
490,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
