City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Macquarie,AU,2022-01-02 08:48:19,-31.4333,152.9167,76.96,73,0,8.81
68,Port Augusta,AU,2022-01-02 08:48:20,-32.5,137.7667,94.71,58,7,21.59
69,Pakxan,LA,2022-01-02 08:48:21,18.3778,103.6601,84.15,36,8,6.2
70,Uray,RU,2022-01-02 08:48:22,60.1247,64.7758,14.27,96,99,4.59
71,Kresek,ID,2022-01-02 08:48:22,-6.1314,106.3797,86.11,59,80,15.73
72,Ribeira Grande,PT,2022-01-02 08:48:23,38.5167,-28.7,63.0,82,75,13.8
73,Auburn,US,2022-01-02 08:48:04,47.3073,-122.2284,37.92,86,90,1.01
74,Feijo,BR,2022-01-02 08:48:24,-8.1642,-70.3536,71.28,99,97,2.48
75,Yellowknife,CA,2022-01-02 08:48:02,62.456,-114.3525,-28.68,75,40,8.05
76,Dikson,RU,2022-01-02 08:48:25,73.5069,80.5464,-36.69,95,19,7.27
77,Georgetown,MY,2022-01-02 08:44:58,5.4112,100.3354,87.89,61,20,11.99
78,Khandbari,NP,2022-01-02 08:48:26,27.3747,87.2039,65.21,43,12,4.68
79,Primorsko-Akhtarsk,RU,2022-01-02 08:48:27,46.0497,38.1747,38.16,92,100,21.83
80,Arraial Do Cabo,BR,2022-01-02 08:47:51,-22.9661,-42.0278,73.36,100,75,8.05
81,Zlobin,HR,2022-01-02 08:48:28,45.2924,14.6541,49.42,88,90,3.44
82,Verkhnyaya Inta,RU,2022-01-02 08:48:28,65.9811,60.3094,9.57,90,100,8.25
83,Saint-Philippe,RE,2022-01-02 08:48:29,-21.3585,55.7679,83.21,72,64,8.01
84,Carnarvon,AU,2022-01-02 08:48:29,-24.8667,113.6333,82.47,65,0,20.71
85,Barra Do Pirai,BR,2022-01-02 08:48:30,-22.47,-43.8256,72.75,97,100,6.02
86,Tazovskiy,RU,2022-01-02 08:48:31,67.4667,78.7,-13.04,97,100,11.52
87,Shache,CN,2022-01-02 08:48:31,38.4167,77.2406,33.85,29,100,3.51
88,Amapa,BR,2022-01-02 08:48:32,1.0,-52.0,69.58,100,84,1.99
89,Torbay,CA,2022-01-02 08:48:32,47.6666,-52.7314,34.57,95,90,12.66
90,Puerto Del Rosario,ES,2022-01-02 08:48:33,28.5004,-13.8627,65.88,63,0,6.91
91,Teseney,ER,2022-01-02 08:48:34,15.11,36.6575,78.64,13,69,8.57
92,Okhotsk,RU,2022-01-02 08:48:34,59.3833,143.3,-11.45,76,100,13.15
93,Vardo,NO,2022-01-02 08:48:35,70.3705,31.1107,23.56,60,100,15.01
94,Khorixas,NA,2022-01-02 08:48:36,-20.3667,14.9667,87.62,11,10,3.85
95,East London,ZA,2022-01-02 08:49:36,-33.0153,27.9116,72.54,49,0,10.36
96,Puyang,CN,2022-01-02 08:49:37,29.4603,119.8861,49.46,48,3,4.56
97,Griffith,US,2022-01-02 08:49:38,41.5284,-87.4237,28.4,93,90,7.0
98,Komsomolskiy,UZ,2022-01-02 08:49:38,40.4272,71.7189,47.62,33,96,2.3
99,Chokurdakh,RU,2022-01-02 08:49:39,70.6333,147.9167,-25.65,98,100,6.87
100,Busselton,AU,2022-01-02 08:49:39,-33.65,115.3333,88.09,47,0,17.52
101,Beloha,MG,2022-01-02 08:49:40,-25.1667,45.05,91.4,33,4,9.84
102,Avera,US,2022-01-02 08:49:41,33.194,-82.5271,72.72,75,100,18.77
103,Los Llanos De Aridane,ES,2022-01-02 08:49:42,28.6585,-17.9182,65.12,30,0,8.99
104,Constitucion,CL,2022-01-02 08:45:56,-35.3333,-72.4167,54.52,88,10,1.9
105,Nagua,DO,2022-01-02 08:49:43,19.3832,-69.8474,67.44,78,18,4.63
106,Hithadhoo,MV,2022-01-02 08:49:43,-0.6,73.0833,82.38,73,36,8.95
107,Sao Filipe,CV,2022-01-02 08:49:44,14.8961,-24.4956,77.4,52,98,7.23
108,Mandal,IN,2022-01-02 08:49:45,25.45,74.5667,70.92,38,42,6.06
109,Khasan,RU,2022-01-02 08:49:45,42.4308,130.6434,19.65,43,0,15.37
110,Dwarka,IN,2022-01-02 08:49:46,22.2394,68.9678,77.36,50,0,11.74
111,Katsuura,JP,2022-01-02 08:49:47,35.1333,140.3,51.19,68,4,12.59
112,Kirakira,SB,2022-01-02 08:49:47,-10.4544,161.9205,81.52,84,99,5.86
113,New Norfolk,AU,2022-01-02 08:49:48,-42.7826,147.0587,60.66,62,82,1.99
114,Oda,JP,2022-01-02 08:49:49,35.1833,132.5,45.37,64,46,17.92
115,Portland,US,2022-01-02 08:37:01,45.5234,-122.6762,31.96,84,75,4.0
116,Svetlaya,RU,2022-01-02 08:49:50,46.5389,138.3297,7.83,64,5,14.38
117,Faanui,PF,2022-01-02 08:49:50,-16.4833,-151.75,81.59,76,90,14.47
118,Upernavik,GL,2022-01-02 08:49:51,72.7868,-56.1549,11.91,86,100,5.84
119,Mayahi,NE,2022-01-02 08:49:52,13.9553,7.6712,69.78,27,1,20.65
120,Pisco,PE,2022-01-02 08:49:52,-13.7,-76.2167,66.25,88,75,1.14
121,Tasiilaq,GL,2022-01-02 08:49:53,65.6145,-37.6368,10.56,59,12,6.67
122,Saint George,US,2022-01-02 08:49:47,37.1041,-113.5841,27.19,56,1,1.01
123,Aksu,CN,2022-01-02 08:49:54,41.1231,80.2644,33.06,35,97,3.06
124,Bethel,US,2022-01-02 08:49:55,41.3712,-73.414,52.52,92,90,0.0
125,High Rock,BS,2022-01-02 08:49:55,26.6208,-78.2833,76.73,70,35,14.92
126,Jalu,LY,2022-01-02 08:49:56,29.0331,21.5482,61.43,69,19,10.45
127,Aliwal North,ZA,2022-01-02 08:49:57,-30.6937,26.7114,79.92,17,89,9.46
128,Touros,BR,2022-01-02 08:49:57,-5.1989,-35.4608,77.9,76,52,12.26
129,San Patricio,US,2022-01-02 08:49:58,28.017,-97.5169,64.49,44,33,25.7
130,Troy,US,2022-01-02 08:49:59,42.6056,-83.1499,26.56,91,90,3.0
131,Hauterive,FR,2022-01-02 08:50:00,46.0901,3.4459,53.1,53,100,5.1
132,Tuktoyaktuk,CA,2022-01-02 08:50:00,69.4541,-133.0374,-15.14,96,100,12.33
133,Catalao,BR,2022-01-02 08:50:01,-18.1658,-47.9464,65.03,96,75,5.68
134,Coquimbo,CL,2022-01-02 08:50:02,-29.9533,-71.3436,58.73,100,40,1.14
135,Aras,ES,2022-01-02 08:50:03,42.5617,-2.356,50.32,100,90,4.61
136,Albany,US,2022-01-02 08:45:41,42.6001,-73.9662,49.8,94,100,5.88
137,Vila Velha,BR,2022-01-02 08:45:47,-20.3297,-40.2925,76.95,90,20,3.0
138,Jasper,US,2022-01-02 08:45:44,37.2001,-94.3502,13.82,81,90,4.0
139,Charleville-Mezieres,FR,2022-01-02 08:50:05,49.7667,4.7167,51.48,81,100,9.28
140,Grand Gaube,MU,2022-01-02 08:51:06,-20.0064,57.6608,84.6,62,67,8.01
141,Winneba,GH,2022-01-02 08:51:06,5.3511,-0.6231,82.87,68,51,2.86
142,College,US,2022-01-02 08:46:56,64.8569,-147.8028,-16.28,60,40,11.5
143,Panguna,PG,2022-01-02 08:51:07,-6.3164,155.4848,70.14,91,97,1.72
144,Hailar,CN,2022-01-02 08:51:08,49.2,119.7,-9.49,95,15,7.9
145,Bairiki,KI,2022-01-02 08:51:08,1.3292,172.9752,82.4,83,75,9.22
146,Grand Island,US,2022-01-02 08:51:09,40.925,-98.342,-2.79,74,1,6.91
147,Victoria,HK,2022-01-02 08:47:38,22.2855,114.1577,71.26,72,1,7.0
148,Kutum,SD,2022-01-02 08:51:10,14.2,24.6667,63.37,22,8,14.61
149,Raga,SS,2022-01-02 08:51:11,8.4596,25.678,85.21,14,54,8.77
150,Vestmanna,FO,2022-01-02 08:51:12,62.1564,-7.1664,34.72,87,75,34.52
151,Naldurg,IN,2022-01-02 08:51:12,17.8167,76.3,82.29,38,21,5.73
152,Tiznit,MA,2022-01-02 08:51:13,29.5833,-9.5,61.83,36,0,6.02
153,Nikolskoye,RU,2022-01-02 08:51:14,59.7035,30.7861,18.81,93,76,3.04
154,Saskylakh,RU,2022-01-02 08:51:14,71.9167,114.0833,-31.02,99,100,0.34
155,Livingston,GB,2022-01-02 08:51:15,55.9029,-3.5226,47.68,82,0,19.57
156,Lundazi,ZM,2022-01-02 08:51:15,-12.2929,33.1782,79.29,53,100,3.83
157,Sept-Iles,CA,2022-01-02 08:48:33,50.2001,-66.3821,18.12,80,75,10.36
158,Salalah,OM,2022-01-02 08:51:16,17.0151,54.0924,78.49,63,89,12.75
159,Thompson,CA,2022-01-02 08:51:17,55.7435,-97.8558,-29.04,75,1,2.3
160,Ayr,GB,2022-01-02 08:49:54,55.4627,-4.6339,49.5,81,40,11.5
161,Bambous Virieux,MU,2022-01-02 08:51:18,-20.3428,57.7575,84.45,61,20,11.5
162,Ponta Do Sol,PT,2022-01-02 08:51:19,32.6667,-17.1,63.23,50,82,5.01
163,Norman Wells,CA,2022-01-02 08:51:19,65.282,-126.8329,-30.96,61,75,8.05
164,San Lazaro,BZ,2022-01-02 08:51:20,18.0387,-88.6622,72.23,96,71,4.18
165,Makokou,GA,2022-01-02 08:51:21,0.5738,12.8642,80.69,74,93,1.66
166,Mayo,US,2022-01-02 08:51:22,38.8876,-76.5119,59.95,96,100,1.16
167,Cherskiy,RU,2022-01-02 08:51:22,68.75,161.3,14.0,83,93,10.96
168,Sioux Lookout,CA,2022-01-02 08:51:23,50.1001,-91.917,-20.13,76,75,4.61
169,Codrington,AU,2022-01-02 08:51:23,-38.2667,141.9667,61.86,66,22,14.52
170,Khash,IR,2022-01-02 08:51:24,28.2211,61.2158,59.18,54,99,11.9
171,Bluff,NZ,2022-01-02 08:51:25,-46.6,168.3333,64.8,77,100,5.66
172,Taltal,CL,2022-01-02 08:50:20,-25.4,-70.4833,64.72,86,91,1.01
173,Grindavik,IS,2022-01-02 08:51:26,63.8424,-22.4338,25.27,54,40,32.21
174,Pitimbu,BR,2022-01-02 08:51:26,-7.4706,-34.8086,77.59,78,100,10.42
175,Bucerias,MX,2022-01-02 08:48:43,20.75,-105.3333,68.99,89,9,5.64
176,Darasun,RU,2022-01-02 08:51:27,51.6667,114.0,-7.06,93,100,1.16
177,Asfi,MA,2022-01-02 08:51:28,32.2994,-9.2372,63.73,44,23,10.16
178,Deputatskiy,RU,2022-01-02 08:51:28,69.3,139.9,-45.0,98,38,4.29
179,Kondopoga,RU,2022-01-02 08:51:29,62.2057,34.2614,11.88,94,35,6.6
180,Richards Bay,ZA,2022-01-02 08:51:30,-28.783,32.0377,69.89,94,100,12.73
181,Kamenka,RU,2022-01-02 08:51:30,51.3223,42.7678,26.74,94,99,14.36
182,Ouesso,CG,2022-01-02 08:51:31,1.6136,16.0517,95.61,33,93,0.09
183,Sola,VU,2022-01-02 08:51:32,-13.8833,167.55,83.03,80,100,16.98
184,North Vernon,US,2022-01-02 08:48:39,39.0062,-85.6236,46.49,93,100,10.58
185,La Ciotat,FR,2022-01-02 08:51:33,43.1748,5.6045,52.81,92,32,1.7
186,Nueva Concepcion,GT,2022-01-02 08:51:33,14.2,-91.3,75.45,84,39,4.85
187,El Alto,PE,2022-01-02 08:52:34,-4.2714,-81.2147,67.86,81,60,10.67
188,Marienburg,PL,2022-01-02 08:52:35,54.0359,19.0266,48.11,90,100,16.13
189,Narsaq,GL,2022-01-02 08:52:36,60.9167,-46.05,18.88,88,100,6.38
190,Zarand,IR,2022-01-02 08:52:36,30.8127,56.564,49.26,60,100,9.62
191,Garmsar,IR,2022-01-02 08:52:37,35.2182,52.3409,54.28,45,100,11.86
192,Kapustin Yar,RU,2022-01-02 08:52:37,48.5831,45.7372,32.81,90,100,11.65
193,Awjilah,LY,2022-01-02 08:52:38,29.1081,21.2869,61.81,68,24,10.98
194,Saint-Joseph,RE,2022-01-02 08:47:25,-21.3667,55.6167,82.2,71,52,3.29
195,Cabo San Lucas,MX,2022-01-02 08:48:40,22.8909,-109.9124,67.51,80,2,3.58
196,Pevek,RU,2022-01-02 08:52:40,69.7008,170.3133,18.91,79,100,25.21
197,Quatre Cocos,MU,2022-01-02 08:52:40,-20.2078,57.7625,84.31,60,83,10.65
198,Ozernovskiy,RU,2022-01-02 08:52:41,51.5,156.5167,26.69,90,97,5.28
199,Tautira,PF,2022-01-02 08:52:42,-17.7333,-149.15,77.02,80,100,15.05
200,Ilulissat,GL,2022-01-02 08:52:42,69.2167,-51.1,-3.08,75,99,6.15
201,Zhigansk,RU,2022-01-02 08:52:43,66.7697,123.3711,-46.16,99,82,6.73
202,Floro,NO,2022-01-02 08:52:45,61.5996,5.0328,46.96,87,75,25.32
203,Kruisfontein,ZA,2022-01-02 08:52:45,-34.0033,24.7314,73.89,47,68,11.59
204,Ancud,CL,2022-01-02 08:52:46,-41.8697,-73.8203,52.23,70,100,16.2
205,Luderitz,NA,2022-01-02 08:52:46,-26.6481,15.1594,80.89,41,0,18.43
206,Nazas,MX,2022-01-02 08:52:47,25.2333,-104.1333,53.87,30,0,4.79
207,Baghdad,IQ,2022-01-02 08:49:36,33.3406,44.4009,53.51,58,100,10.36
208,Le Port,RE,2022-01-02 08:52:48,-20.9373,55.2919,83.61,75,58,2.66
209,Teahupoo,PF,2022-01-02 08:52:49,-17.8333,-149.2667,71.56,81,100,15.7
210,Mar Del Plata,AR,2022-01-02 08:52:50,-38.0023,-57.5575,69.1,87,0,3.0
